id,ID2,Einrichtung,Trager,Anzeigen,Typ,Schlagworte,Zielgruppe,Beratungsmoglichkeiten,Prio,Sprachen,Barrierefreiheit,Kategorie,Uber_uns,Strasse,Hausnummer,Zusatz,PLZ,Bezirk,Stadtteil,Telefonnummer,EMail,Website,c24_h_7_Tage,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Art_der_Anmeldung,Weitere_Offnungszeiten,lat,long,Ready
5,180,[U25] Online Suizidprävention - Reines Onlineangebot,Caritas für das Erzbistum Berlin,1,Online,"[""L"",3,5,20]",Kinder & Jugendliche,,Hoch,Deutsch,"Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",IGPP Handlungsfeld Besondere Bedarfslagen,"Kostenfreie und anonyme Mailberatung für Jugendliche bis 25 Jahre, die verzweifelt sind und Suizidgedanken haben. Beratung nur online!",,,,,,,keine,u25@caritas-berlin.de,https://www.u25-berlin.de,ja,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,Bitte Termin vereinbaren: Online,,,,true
6,252,"Abteilung für Kinder- und Jugendpsychiatrie, Psychotherapie und Psychosomatik",DRK Westend,1,Klinik,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14,20]",Kinder & Jugendliche,,Niedrig,"Deutsch, Englisch, Französisch, Polnisch, Russisch",Rollstuhlgerechter Zugang,Pflichtversorgende Klinik,"Regionaler Versorger der Kinder- und Jugendpsychiatrie für die Bezirke Charlottenburg, Wilmersdorf und Spandau",Spandauer Damm,130,,14050,Charlottenburg-Wilmersdorf,Westend,030 30354515,kinder-jugendpsychiatrie@drk-kliniken-berlin.de,https://www.drk-kliniken-berlin.de/kinder-jugendpsychiatrie-westend,nein,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: vor Ort, telefonisch, per Mail",Im Notfall Rettungsstelle 24 Stunden geöffnet.,52.51928,13.27615,true
7,431,Alexianer Krankenhaus Hedwigshöhe,Alexianer St. Hedwig Kliniken Berlin GmbH,1,Klinik,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch",Rollstuhlgerechter Zugang,Pflichtversorgende Klinik,"Wir behandeln Erwachsene mit Abhängigkeit und Missbrauch von Alkohol, Medikamenten und illegalen Drogen. Außerdem versorgen wir Patienten mit Abhängigkeitserkrankungen und weiteren psychischen Erkrankungen (Doppeldiagnosen), wie zum Beispiel Schizophrenien oder Depression.",Höhensteig,1,,12526,Treptow-Köpenick,Bohnsdorf,030 67413500,psychiatrie-khh@alexianer.de,https://www.alexianer-berlin-hedwigkliniken.de/krankenhaus-hedwigshoehe/leistungen/kliniken/psychiatrie-psychotherapie-und-psychosomatik/leistungsangebote/abhaengigkeitserkrankungen-und-doppeldiagnosen,ja,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,"Termine können vereinbart werden: vor Ort, telefonisch",,52.4059,13.56928,true
8,407,Alkohol- und Medikamentenberatung Charlottenburg,vista gGmbH,1,Beratung,"[""L"",7,12,25]",Angehörige,,Mittel,"Deutsch, Englisch, Russisch, Türkisch, Weitere Sprachen, Ukrainisch",Rollstuhlgerechter Zugang,Alkohol- und Medikamentenberatungsstelle,"Information und Beratung: Wirkung und Risiken von psychoaktiven Substanzen, Wege zu mehr Konsumkompetenz (Programme wie Kontrolliertes Trinken und Rauchfrei), Angebote der Selbsthilfe und Gruppen, Entzugsmöglichkeiten und Therapieformen, Angebote für Angehörige.
Vermittlung in weiterführende Angebote, ambulante Therapie und Nachsorge.",Kaiser-Friedrich-Straße,81,,10585,Charlottenburg-Wilmersdorf,Charlottenburg,030 34800948,charlottenburg@vistaberlin.de,https://vistaberlin.de/einrichtungen/alkohol-und-medikamentenberatung-charlottenburg/,nein,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 14:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: vor Ort, telefonisch, per Mail",,52.51235,13.30165,true
9,135,Alkohol- und Medikamentenberatungsstelle Tempelhof-Schöneberg,Drogennotdienst Berlin gGmbH,1,Beratung,"[""L"",7,9,12,8,25,20]","Angehörige, Kinder & Jugendliche",,Mittel,"Deutsch, Englisch, Weitere Sprachen mit Sprachmittlung","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",Alkohol- und Medikamentenberatungsstelle,"Wir sind die regionale Anlaufstelle für Menschen aus Tempelhof-Schöneberg, die mit Alkohol, Medikamenten oder illegalisierten Substanzen Probleme haben. Wir beraten Betroffene, Angehörige sowie Jugendliche und deren Eltern. Unser Angebot umfasst Einzelgespräche und Gruppenangebote, Vermittlung in weiterführende Hilfen, Hilfe in Krisensituationen, Aufsuchende Arbeit in Einrichtungen für Geflüchtete. Unsere Beratung ist kostenlos und anonym.",Tempelhofer Damm,129,2. Etage,12099,Tempelhof-Schöneberg,Tempelhof,030 233 240 260,amb@notdienstberlin.de,https://drogennotdienst.de/angebote/beratung-und-reha/alkohol-und-medikamentenberatungsstelle/,nein,13:00 - 17:00,09:00 - 16:00,09:00 - 17:00,10:00 - 18:00,Geschlossen,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail","Sprechstunden ohne Termin: (für Betroffene und Angehörige, sowie Jugendliche und Eltern)
Mo 15:00 - 17:00 Uhr
Di 10:00 - 12:00 Uhr
Mi 15:00 - 17:00 Uhr
Do 16:00 - 18:00 Uhr

Öffnungszeit Freitag: nach Vereinbarung",52.46801,13.386,true
10,255,Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz,Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz,1,Beratung,"[""L"",3,6,12,23]",,,Mittel,"Deutsch, Englisch, Holländisch",Rollstuhlgerechter Zugang,IGPP Handlungsfeld Besondere Bedarfslagen,"Die Alzheimer Gesellschaft Berlin e.V. berät und informiert Menschen mit Demenz, deren An- und Zugehörige sowie Fachleute rund um das Thema Demenz, z. B. über das Krankheitsbild Demenz, Diagnostik und Therapie, den Umgang mit dem/der Erkrankten, Möglichkeiten der Entlastung, Hilfsangebote und die Bewältigung von Belastungs- und Notsituationen.",Friedrichstraße,236,3. OG,10969,Friedrichshain-Kreuzberg,Kreuzberg,030 89094357,info@alzheimer-berlin.de,https://www.alzheimer-berlin.de,nein,18:00 - 20:00,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, per Mail",Persönliche Beratungsgespräche nach vorheriger Terminabsprache.,52.50222,13.39102,true
11,198,Amal Projekt,Wuhletal Psychosoziales Zentrum gGmbH,1,Beratung,"[""L"",7,9,16,23,22]",Migration & Flucht,,Mittel,"Deutsch, Arabisch, Englisch, Russisch, Dari und Persisch",Rollstuhlgerechter Zugang,Kontakt- und Beratungsstelle,"Beratung und Hilfe für geflüchtete Menschen, die psychosoziale Probleme haben.
Wir beraten kostenlos, sprechen mehrere Sprachen und kommen zu Ihnen, wenn Sie es wünschen.
Wir hören zu, suchen nach weiteren Hilfen, erklären, was es an Hilfen gibt. Wir machen notwendige Termine aus und begleiten bei Bedarf. Wir sind Ansprechpartner bei Krisen und bieten Aktivitäten an.",Alt Marzahn,56,,12685,Marzahn-Hellersdorf,Marzahn,030 54708505,amal@wuhletal.de,https://www.wuhletal.de,nein,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail",,52.54282,13.56139,true
12,Sen106,Ängste und Depression - selbstfürsorglich & achtsam,Selbsthilfekontaktstelle Marzahn-Hellersdorf,1,Selbsthilfe,"[""L"",1,3]",,,Mittel,Deutsch,"Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",Selbsthilfegruppe,,Alt Marzahn,54,Alkoholfreies-Begegnungs-Centrum ABC,12685,Marzahn-Hellersdorf,,,selbsthilfe@wuhletal.de,,nein,18:00 - 19:30,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, per Mail",,52.542844572070074,13.561074197430287,true
13,Sen099,Anonyme Alkoholiker,Anonyme Alkoholiker,1,Selbsthilfe,"[""L"",7]",,,Mittel,Deutsch,Keine Angabe,Selbsthilfegruppe,Aufnahme Interessierter: Jederzeit zu den Gruppenzeiten ohne Voranmeldung,Fehmarner Straße,24,Keller,13353,Mitte,Wedding,030 19295,oea-berlin@anonyme-alkoholiker.de,https://www.anonyme-alkoholiker.de/,nein,10:00 - 12:00,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,"Es ist keine vorherige Anmeldung nötig.: ",offenes Meeting jeden 1. Montag im Monat,52.54106480217181,13.348642799006624,true
14,536,"Arabischsprachige Spezialambulanz ",Charité - Universitätsmedizin Berlin,1,Beratung,"[""L"",1,3,5,14,23,22]",Migration & Flucht,,Mittel,"Deutsch, Arabisch",Rollstuhlgerechte Einrichtung,Klinik mit Beratungsangebot,Die Arabischsprachige Ambulanz an der Klinik und Hochschulambulanz für Psychiatrie und Psychotherapie (Campus Benjamin Franklin) bietet Patientinnen und Patienten aus dem arabischsprachigen Raum muttersprachliche psychosoziale und psychiatrische Behandlungen gegen Erkrankungen aus dem gesamten psychiatrischen Spektrum an.,Hindenburgdamm,30,,12203,Steglitz-Zehlendorf,Steglitz,030 450517666,psych-cbf@charite.de,https://psychiatrie.charite.de/leistungen/ambulanzbereich/arabischsprachige_spezialambulanz/,nein,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, per Mail",,52.442188,13.32175,true
