Typ;Nr.;Name;d;X;Y;latitude;longitude;Untergeordnete Exportnummer;HAFAS Nr.
Bauwerk;3;S+U Alexanderplatz Bhf;;4596000;5821830;52.521.152;13.412.832;100003;9100003
Zwischenpunkt;140;Zwischengeschoss U5/Verteiler (Treppe 2 zum Verteiler);-3;4596000;5821830;52.521.152;13.412.832;9701140;
Zwischenpunkt;58;Untergeschoss Empfangshalle (Rolltreppe zur Empfangshalle Nähe Dircksenstraße);-1;4595875;5821884;52.521.659;13.411.006;9701058;
Zwischenpunkt;62;Bahnsteig U2 (Aufzug  Zwischengeschoss U5/U2,Bahnsteig U5 Hönow und Zugang);-1;4596068;5821877;52.521.562;13.413.847;9701062;
Zwischenpunkt;70;Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U5 Hönow);-3;4596000;5821830;52.521.152;13.412.832;9701070;
Zwischenpunkt;60;Bahnsteig U2 (Treppe1 zum Zwischengeschoss U5/U2);-1;4596069;5821877;52.521.562;13.413.861;9701060;
Zwischenpunkt;65;Zwischengeschoss U5/U2 (Aufzug zum Bahnsteig U2 und Bahnsteig U5 S+U Alexanderplatz Bhf.);-3;4596000;5821830;52.521.152;13.412.832;9701065;
Zwischenpunkt;66;Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U2);-3;4596000;5821831;52.521.161;13.412.832;9701066;
Zwischenpunkt;68;Zwischengeschoss U5/U2 (Treppe zur Ladenstraße);-3;4596002;5821831;52.521.161;13.412.861;9701068;
Zwischenpunkt;78;Zwischengeschoss Unterführung (Rolltreppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-1;4596248;5821943;52.522.124;13.416.517;9701078;
Zwischenpunkt;79;Zwischengeschoss Unterführung (Treppe zum Bahnsteig U5 Hönow);-1;4596257;5821954;52.522.221;13.416.653;9701079;
Zwischenpunkt;105;Bahnsteig U5 S+U Alexanderplatz Bhf. (Aufzug zum Bahnsteig U8,Verteiler und Zugang);-5;4596082;5821896;52.521.731;13.414.058;9701105;
Zwischenpunkt;110;Bahnsteig U5 S+U Alexanderplatz Bhf. (Aufzug zum Bahnsteig U2 und Zwischengeschoss U5/U2);-5;4596082;5821895;52.521.722;13.414.058;9701110;
Zwischenpunkt;111;Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe zum Zwischengeschoss Unterführung);-5;4596082;5821896;52.521.731;13.414.058;9701111;
Zwischenpunkt;119;Bahnsteig U5 Hönow (Aufzug zum Bahnsteig U2 und Zwischengeschoss U5/U2 und Zugang);-5;4596086;5821891;52.521.685;13.414.116;9701119;
Zwischenpunkt;124;Ladenstr. (Treppe Grunerstraße/Weltzeituhr);-2;4596026;5821849;52.521.318;13.413.220;9701124;
